brand_Ford,brand_Volkswagen,car_age,brand_Toyota,usage_intensity,owner,brand_Other,brand_Honda,mileage_power_interaction,engine,mileage,transmission_Manual,km_per_year,brand_Nissan,km_driven,max_power,seller_type_Trustmark Dealer,brand_Hyundai,brand_Renault,fuel_Diesel,brand_Maruti,fuel_Petrol,age_km_interaction,brand_Tata,fuel_LPG,specific_power,seller_type_Individual,selling_price
0,0,-0.6250723853001153,0,1,1,0,0,-1.164746594250099,-2.0367974853031674,1.2228147653174186,1.0,-0.7049556379142601,0,-0.8750089867561841,-1.927902187188655,0.0,0,0,0.0,1,1.0,-0.8508756581123376,0,0.0,-0.5991023047923469,0.0,315000
0,0,-0.6250723853001153,0,1,1,0,0,-1.164746594250099,-2.0367974853031674,1.2228147653174186,1.0,-0.49272999492904984,0,-0.7218577194638037,-1.927902187188655,0.0,0,0,0.0,1,1.0,-0.7665134207123327,0,0.0,-0.5991023047923469,0.0,275000
0,0,-0.3624341842124264,0,2,1,0,0,-0.05115945640697511,0.13868228579781053,-0.4271016054418246,1.0,0.6462142890915785,0,0.29915072915206553,0.2529359794317932,0.0,0,0,1.0,1,0.0,-0.08224193957896087,0,0.0,0.2173067450222447,0.0,475000
0,0,0.42548041905064027,0,1,1,0,0,-0.6963547119634684,-0.6410250657914781,-0.3287412064157932,1.0,-1.1511736564985486,0,-0.977109831617771,-0.617378238234867,0.0,1,0,0.0,0,1.0,-0.7321436202901086,0,0.0,-0.16889885677429797,0.0,290000
0,0,-0.8877105863878042,0,1,1,0,0,-2.932181028810776,-2.0367974853031674,-2.172205459129486,1.0,-0.5634718759241201,0,-0.8750089867561841,-2.7047428894600567,0.0,0,0,0.0,1,1.0,-0.9008680950901181,0,0.0,-2.6514493111978834,0.0,280000
0,1,-0.3624341842124264,0,1,1,0,0,-1.033239737632509,-0.10196813135937732,-1.3884951830188457,1.0,-0.49980418302855695,0,-0.6197568746022167,-0.24158944323366016,0.0,0,0,0.0,0,1.0,-0.6446568555789925,0,0.0,-0.2873100216823337,0.0,455000
0,0,-0.3624341842124264,0,1,2,0,0,-0.6963547119634684,-0.6410250657914781,-0.3287412064157932,1.0,-0.40430264368521235,0,-0.5431812409560266,-0.617378238234867,0.0,1,0,0.0,0,1.0,-0.5977889459123232,0,0.0,-0.16889885677429797,0.0,351000
0,1,0.42548041905064027,0,1,2,0,0,-0.1489779407398652,1.8232352058981254,-1.8422221849776375,1.0,-1.5429748435481676,0,-1.3855132110641186,1.6278808646715022,0.0,0,0,0.0,0,1.0,-1.0570944606456825,0,0.0,0.1193037247705882,0.0,535000
0,0,1.2133950223137069,0,1,1,0,0,-1.0268819660821444,-1.0645697999881287,-0.8395806981316357,1.0,-0.7325891851779595,0,-0.2751665231943609,-0.6773781298737153,0.0,0,0,0.0,1,1.0,0.08648253522104865,0,0.0,0.4385238410891687,0.0,175000
0,0,0.16284221796295137,0,2,1,0,0,-0.21521080755901517,-0.10678113970252108,-0.7443932152032176,1.0,-0.2053411033865777,0,-0.12201525590198051,0.3173569157177141,0.0,1,0,0.0,0,1.0,-0.1478570131122979,0,0.0,0.7015357227471504,0.0,525000
